time,Localisation,FID,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-10-04,Rennes,ind_bretagne.2021-10-04 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-04T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),14.2,10.2,19.7,0.3,,198,16.4,44,1013.3,
2021-10-05,Rennes,ind_bretagne.2021-10-05 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-05T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),13.9,10.6,17,7.9,,256,21.5,54,1010.5,
2021-10-06,Rennes,ind_bretagne.2021-10-06 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-06T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),13.2,8.4,18.6,0.5,,262,11.7,31,1024,
2021-10-07,Rennes,ind_bretagne.2021-10-07 02:00:00+02.243500139,3,D̩grad̩,#F0E641,2021-10-07T02:00:00Z,Air Breizh,EPCI,243500139,3,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),15.1,11.8,17.5,0,,148,4.7,38.9,1027.2,
2021-10-08,Rennes,ind_bretagne.2021-10-08 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-08T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),15.3,11.4,20.4,0,,65,9.3,30,1027.4,
2021-10-09,Rennes,ind_bretagne.2021-10-09 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-09T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),13.4,6.5,20.5,0,,343,8.6,33,1026.4,
2021-10-10,Rennes,ind_bretagne.2021-10-10 02:00:00+02.243500139,3,D̩grad̩,#F0E641,2021-10-10T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,2,3,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),13.1,8,18.8,0.3,,13,10.5,31,1028.2,
2021-10-11,Rennes,ind_bretagne.2021-10-11 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-11T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),12.9,8.1,18.4,0,,7,10.5,31,1030,
2021-10-12,Rennes,ind_bretagne.2021-10-12 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-12T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),10.5,4.4,18,0.3,,304,6.5,27.8,1027.5,
2021-10-13,Rennes,ind_bretagne.2021-10-13 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-13T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),11.7,5.6,18.3,0,,330,5.9,22.2,1027.7,
2021-10-14,Rennes,ind_bretagne.2021-10-14 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-14T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),10.3,4.2,16.6,0,,95,5.9,26,1026.2,
2021-10-15,Rennes,ind_bretagne.2021-10-15 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-15T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),10.4,4.6,18.4,0,,334,5.7,24.1,1020.8,
2021-10-16,Rennes,ind_bretagne.2021-10-16 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-16T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),11.1,6.5,17.5,0,,107,5.5,22,1020.4,
2021-10-17,Rennes,ind_bretagne.2021-10-17 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-17T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),12.6,7.7,19.6,0.3,,131,9,22,1017.8,
2021-10-18,Rennes,ind_bretagne.2021-10-18 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-18T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),14.4,8.6,17.8,0.3,,157,12.7,42,1019.1,
2021-10-19,Rennes,ind_bretagne.2021-10-19 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-19T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),18.2,15.5,23.1,3.6,,189,17.4,42,1018.2,
2021-10-20,Rennes,ind_bretagne.2021-10-20 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-20T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),15.7,12.2,19.8,1.5,,209,23.3,83,1007.3,
2021-10-21,Rennes,ind_bretagne.2021-10-21 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-21T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),12.2,9.9,16.7,8.4,,276,21.2,81,1012.7,
2021-10-22,Rennes,ind_bretagne.2021-10-22 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-22T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),8.8,2.6,15.2,1,,305,5.8,25.9,1024.7,
2021-10-23,Rennes,ind_bretagne.2021-10-23 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-23T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),9.8,4.6,15,0,,171,5,26,1026.6,
2021-10-24,Rennes,ind_bretagne.2021-10-24 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-24T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),10.6,3.2,16.3,0,,151,10.9,35,1020.8,
2021-10-25,Rennes,ind_bretagne.2021-10-25 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-25T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),12.8,9.7,18,1,,212,7.8,24,1019.3,
2021-10-26,Rennes,ind_bretagne.2021-10-26 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-26T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),12.2,7.5,18.1,0.3,,204,9.9,28,1023.7,
2021-10-27,Rennes,ind_bretagne.2021-10-27 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-27T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),12.3,9.5,16.2,0.5,,172,9.9,24,1022.8,
2021-10-28,Rennes,ind_bretagne.2021-10-28 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-28T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),11.6,4.5,18.1,0,,156,13.2,41,1012.4,
2021-10-29,Rennes,ind_bretagne.2021-10-29 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-29T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),13.4,10,17,3.8,,188,16.2,44,1002.8,
2021-10-30,Rennes,ind_bretagne.2021-10-30 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-30T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),12.9,8.9,16.4,0.3,,198,13.2,64.8,1000.3,
2021-10-31,Rennes,ind_bretagne.2021-10-31 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-31T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),13.1,9.8,16.5,2.5,,199,22.1,59,1000.1,
2021-11-01,Rennes,ind_bretagne.2021-11-01 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-01T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),9.7,7.2,15.6,10.4,,209,15.5,48,1001.9,
2021-11-02,Rennes,ind_bretagne.2021-11-02 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-02T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),7.9,3.8,11.5,1.3,,225,8.1,24,1000.7,
2021-11-03,Rennes,ind_bretagne.2021-11-03 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-03T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),7.4,5.5,13.8,0.5,,298,8.6,26,1004.5,
2021-11-04,Rennes,ind_bretagne.2021-11-04 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-04T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),7.8,3.5,13.1,4.8,,322,10.7,37,1015.2,
2021-11-05,Rennes,ind_bretagne.2021-11-05 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-05T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),6.9,1.8,12.2,2.3,,305,6.5,22.2,1027.6,
2021-11-06,Rennes,ind_bretagne.2021-11-06 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-06T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),5.9,-0.6,12.4,0,,205,5.7,24.1,1031.8,
2021-11-07,Rennes,ind_bretagne.2021-11-07 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-07T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),10.9,6.6,14.3,0.3,,279,12.1,37,1026,
2021-11-08,Rennes,ind_bretagne.2021-11-08 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-08T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),9.2,3.7,14.4,0,,288,4.1,18.5,1025.7,
2021-11-09,Rennes,ind_bretagne.2021-11-09 01:00:00+01.243500139,4,Mauvais,#FF5050,2021-11-09T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,4,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),10.5,6.7,15.3,0,,103,4.2,15,1025.7,
2021-11-10,Rennes,ind_bretagne.2021-11-10 01:00:00+01.243500139,3,D̩grad̩,#F0E641,2021-11-10T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,3,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),7.3,3.5,13.1,,,122,4.4,17,1024.7,
2021-11-11,Rennes,ind_bretagne.2021-11-11 01:00:00+01.243500139,3,D̩grad̩,#F0E641,2021-11-11T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,2,3,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),5.1,-1,13,0,,139,4.8,22,1024.1,
2021-11-12,Rennes,ind_bretagne.2021-11-12 01:00:00+01.243500139,3,D̩grad̩,#F0E641,2021-11-12T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,2,3,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),8.2,1.4,13.5,0,,205,8.8,28,1018.9,
2021-11-13,Rennes,ind_bretagne.2021-11-13 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-13T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),11.6,9.5,14.2,0,,281,11.4,26,1019.2,
2021-11-14,Rennes,ind_bretagne.2021-11-14 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-14T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),11.3,9.7,13.1,0.5,,329,9.5,30,1022.5,
2021-11-15,Rennes,ind_bretagne.2021-11-15 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-15T01:00:00Z,Air Breizh,EPCI,243500139,1,1,1,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),9.2,4.6,12.4,0.3,,14,9.5,30,1025.4,
2021-11-16,Rennes,ind_bretagne.2021-11-16 01:00:00+01.243500139,4,Mauvais,#FF5050,2021-11-16T01:00:00Z,Air Breizh,EPCI,243500139,2,1,1,2,4,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),7.8,4.4,10.5,0,,251,4.7,13,1025,
2021-11-17,Rennes,ind_bretagne.2021-11-17 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-17T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),9.6,6,15.4,0,,272,7.1,30,1026.8,
2021-11-18,Rennes,ind_bretagne.2021-11-18 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-18T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),7.8,3.2,12.7,0.5,,208,3.1,11.1,1032.6,
2021-11-19,Rennes,ind_bretagne.2021-11-19 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-19T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),8.7,3.7,13,0,,90,6.4,24,1031.8,
2021-11-20,Rennes,ind_bretagne.2021-11-20 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-20T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),5.8,2,8.5,0,,56,7,21,1025.2,
2021-11-21,Rennes,ind_bretagne.2021-11-21 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-21T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),7.2,5.9,9.6,0.5,,334,11.3,44,1017.6,
2021-11-22,Rennes,ind_bretagne.2021-11-22 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-22T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),6.8,4.4,10.5,4.6,,29,22.8,59,1023.2,
2021-11-23,Rennes,ind_bretagne.2021-11-23 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-23T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),5.5,1.6,10,0,,37,18.5,52,1027.5,
2021-11-24,Rennes,ind_bretagne.2021-11-24 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-24T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),5.3,2.5,10.2,,,18,11,29.6,1021.1,
2021-11-25,Rennes,ind_bretagne.2021-11-25 01:00:00+01.243500139,3,D̩grad̩,#F0E641,2021-11-25T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,3,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),5.4,2.4,9.2,0,,3,9.2,35,1015.6,
2021-11-26,Rennes,ind_bretagne.2021-11-26 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-26T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),5.3,0.7,10.9,0.8,,261,14.6,59,1005.5,
2021-11-27,Rennes,ind_bretagne.2021-11-27 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-27T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),4.9,2.3,7.6,6.6,,317,28.4,74,998.5,
2021-11-28,Rennes,ind_bretagne.2021-11-28 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-28T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),4.4,1.6,7.6,6.1,,304,14.3,54,1008.8,
2021-11-29,Rennes,ind_bretagne.2021-11-29 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-29T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),3.8,0.5,7.6,2.8,,248,6.9,26,1016.6,
2021-11-30,Rennes,ind_bretagne.2021-11-30 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-11-30T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),7.9,1.6,12.3,0,,223,14.8,39,1020.9,
2021-12-01,Rennes,ind_bretagne.2021-12-01 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-12-01T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),9.2,5.6,11.8,1.5,,263,21.1,48,1007.1,
2021-12-02,Rennes,ind_bretagne.2021-12-02 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-12-02T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),3.9,-0.3,7.2,2.5,,305,11.1,42,1013.6,
2021-12-03,Rennes,ind_bretagne.2021-12-03 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-12-03T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),7.9,-1.4,13.2,5.1,,209,16.1,53.7,1011.1,
2021-12-04,Rennes,ind_bretagne.2021-12-04 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-12-04T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),9.1,5.1,13.4,3.3,,264,20.9,91,1006.1,
2021-12-05,Rennes,ind_bretagne.2021-12-05 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-12-05T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),6.6,3.6,9.9,2.5,,295,21.2,61,1010.9,
2021-12-06,Rennes,ind_bretagne.2021-12-06 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-12-06T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),6.9,4.6,10.1,1.3,,245,12.6,31,1015.7,
2021-12-07,Rennes,ind_bretagne.2021-12-07 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-12-07T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),6.9,3.7,10.4,1.8,,197,19.8,61,1004.2,
2021-12-08,Rennes,ind_bretagne.2021-12-08 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-12-08T01:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),4.8,2.4,8.1,4.3,,239,14.6,42.6,1001,
2021-12-09,Rennes,ind_bretagne.2021-12-09 01:00:00+01.243500139,2,Moyen,#50CCAA,2021-12-09T01:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),5.4,0.8,12.4,0.5,,200,12.6,44,1006.1,
