time,Localisation,FID,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-27,Rennes,ind_bretagne.2021-09-27 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-27T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,1,1,2,1,1,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),16.7,12.8,20.4,2.8,,223,21,54,1016.7,
2021-09-27,Saint-Brieuc,ind_bretagne.2021-09-27 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-09-27T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),15.6,12,17.8,,,224,19.7,59,1015,
2021-09-27,Vannes,ind_bretagne.2021-09-27 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-09-27T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),15.3,8,18,7.9,,240,17.4,,1016.5,
2021-09-28,Brest,ind_bretagne.2021-09-28 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-09-28T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),14.1,11.6,17.4,10.4,,211,21.8,57,1018.2,
2021-09-28,Quimper,ind_bretagne.2021-09-28 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-09-28T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),14.2,10.6,17.2,,,213,13.2,38.9,1019.4,
2021-09-28,Rennes,ind_bretagne.2021-09-28 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-28T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,1,1,2,1,1,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),14.3,10.6,20.4,0.5,,192,14.4,50,1020.6,
2021-09-28,Saint-Brieuc,ind_bretagne.2021-09-28 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-09-28T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),13.5,10.1,16.6,,,185,13.5,41,1018.9,
2021-09-28,Vannes,ind_bretagne.2021-09-28 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-09-28T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),10.5,4,18,2.3,,192,11.2,,1019.7,
2021-09-29,Brest,ind_bretagne.2021-09-29 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-09-29T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,2,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),11.3,6.4,16.6,9.9,,298,11.1,33,1025.4,
2021-09-29,Quimper,ind_bretagne.2021-09-29 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-09-29T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,2,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),12.6,8.8,16.9,,,310,12.2,37,1025.6,
